id	Всего сообщений	Сообщений ученика	Сообщений учителя
442573647	22	10	12
163456184	117	53	64
508761362	953	252	701
199061698	8	3	5
255669864	8	5	3
212047081	7	6	1
99140204	15	10	5
67141257	147	55	92
171065698	9	5	4
199587543	19	12	7
337576340	10	8	2
436430557	23	14	9
150544012	20	13	7
284704069	43	24	19
150378736	14	9	5
155028781	18	12	6
196296983	64	40	24
138735830	13	9	4
29237466	11	5	6
418890756	16	7	9
166131487	9	7	2
177053489	13	11	2
201937720	33	19	14
42563872	15	7	8
167743695	8	4	4
81583171	8	7	1
234749259	24	13	11
520198021	3	2	1
235169225	17	11	6
503730038	83	49	34
137620565	29	17	12
197267965	44	17	27
179714235	16	7	9
201362547	34	18	16
222306609	64	34	30
114141186	36	12	24
195447222	23	15	8
94656317	28	17	11
244159498	6	4	2
3293718	16	9	7
440007170	20	10	10
218428385	32	23	9
142726040	44	22	22
375979269	14	11	3
179146207	42	26	16
384853541	18	7	11
481189082	33	15	18
233556126	24	15	9
222580522	29	13	16
431930211	24	11	13
310656515	25	12	13
352032749	23	11	12
220021293	18	13	5
226807032	81	38	43
539243211	105	60	45
447092186	31	17	14
243020342	42	23	19
185401314	19	11	8
489083609	35	21	14
145389306	10	8	2
141913953	17	8	9
178350340	20	9	11
154286664	27	16	11
84581493	17	11	6
191773299	15	12	3
148560663	24	13	11
227737255	54	29	25
236665410	13	8	5
405828351	21	13	8
162469552	190	101	89
132889293	4	2	2
208448901	11	6	5
166267002	29	16	13
228614743	24	13	11
188954044	69	35	34
163720554	46	25	21
106676727	12	7	5
78907669	20	11	9
144053215	13	9	4
499666748	92	37	55
172537200	26	13	13
362039463	12	5	7
172176847	23	11	12
253099803	15	11	4
67621481	22	14	8
467348687	34	16	18
338358095	99	43	56
159549690	4	2	2
186888231	22	14	8
358436874	22	12	10
401792706	93	48	45
217036439	11	7	4
134311771	23	9	14
205442617	8	4	4
152732147	18	12	6
173674956	44	22	22
143097228	40	20	20
283204582	4	2	2
256232911	94	44	50
105778623	22	12	10
180398658	22	15	7
107890724	20	10	10
134648480	44	20	24
237527625	47	17	30
58645362	22	10	12
110166209	19	12	7
240205724	12	9	3
154116103	7	3	4
269357808	10	7	3
200128737	12	9	3
306560619	10	8	2
390427794	13	6	7
270673068	45	23	22
197700071	24	17	7
141966920	10	8	2
227288518	81	34	47
164200468	11	9	2
209726724	62	26	36
202579180	19	11	8
56759495	6	3	3
162628046	6	3	3
449663188	2	1	1
504087732	9	7	2
357490056	81	36	45
503732487	9	4	5
126686652	21	13	8
184791023	14	11	3
452860334	23	10	13
461775536	25	13	12
450923306	6	3	3
158278400	40	17	23
503589275	105	57	48
179138070	16	9	7
194152151	12	6	6
55068077	8	3	5
145563445	17	11	6
181584236	12	10	2
200002575	25	15	10
527882444	12	7	5
349620614	36	18	18
176173867	5	3	2
251953575	123	58	65
228283186	8	7	1
222351867	20	14	6
300715818	14	10	4
284559313	22	12	10
396992623	26	14	12
170545467	3	2	1
149109309	60	23	37
347694568	25	15	10
169553537	3	1	2
207658719	35	25	10
123838153	16	8	8
376365980	50	20	30
269587521	11	7	4
481198913	2	1	1
161323041	8	5	3
159838878	35	19	16
168955145	37	20	17
139194032	28	15	13
162577458	4	2	2
164116368	35	19	16
91422220	11	8	3
153288791	37	16	21
191573459	151	79	72
438780686	6	4	2
73583011	71	34	37
74478134	206	93	113
63942052	115	52	63
195214517	19	11	8
154699801	34	18	16
168370222	12	9	3
429876923	88	34	54
360847630	23	14	9
349185870	89	38	51
445042394	8	5	3
167857368	15	9	6
353672286	13	7	6
412480211	26	17	9
148907256	31	21	10
351219689	13	7	6
185517453	13	9	4
124717575	24	12	12
312776595	22	11	11
177217218	5	3	2
217447373	33	20	13
240726822	53	31	22
488422875	18	13	5
537854339	106	49	57
416205790	8	4	4
164736193	24	15	9
138555483	20	9	11
181641382	8	5	3
303459624	7	4	3
232167841	15	10	5
242102155	19	10	9
409828227	10	8	2
388361205	31	15	16
341779203	83	32	51
200857606	8	7	1
319276624	24	12	12
201492378	40	24	16
278010132	12	9	3
254629766	36	21	15
403667975	14	4	10
213581328	9	6	3
96097922	23	14	9
230552387	8	7	1
111258959	33	23	10
201834746	14	10	4
381147433	13	7	6
236825182	38	21	17
528692360	8	4	4
145310564	48	15	33
222624431	10	8	2
142675081	18	8	10
134880398	19	13	6
174344306	9	7	2
203868007	32	16	16
157773927	15	10	5
225919260	10	8	2
176630811	8	6	2
114961791	70	38	32
140361576	5	4	1
221351196	14	9	5
150882997	78	41	37
136009498	19	10	9
142586933	72	25	47
480252030	11	8	3
147494341	13	8	5
151796374	33	17	16
175136446	8	4	4
475979973	27	16	11
58122526	16	9	7
508869876	28	17	11
413536653	55	30	25
274096542	20	14	6
113556657	53	29	24
331194348	43	19	24
176569461	14	7	7
137551136	21	13	8
162921204	57	31	26
492434887	24	15	9
166702750	28	16	12
528712506	130	59	71
212309960	17	10	7
136953398	18	12	6
202713324	15	8	7
514544267	18	8	10
353371409	13	10	3
296363354	10	4	6
227290720	39	23	16
429766445	15	7	8
183266317	25	14	11
269609076	62	30	32
170531177	16	8	8
157299826	15	10	5
202329548	13	6	7
251805316	12	5	7
198406257	16	11	5
74010829	17	9	8
141776899	17	11	6
459255993	50	25	25
223841331	35	14	21
348909127	17	12	5
254012193	55	25	30
157265885	42	25	17
438945372	25	15	10
479273721	38	22	16
238674678	14	7	7
200456783	63	27	36
158212106	19	10	9
238256004	41	21	20
134970959	10	5	5
144481151	5	2	3
155136891	34	18	16
388982742	44	21	23
188450917	21	14	7
296765544	42	25	17
250138960	47	25	22
242151997	7	4	3
532058423	18	9	9
246096409	26	11	15
231698545	16	9	7
194768034	33	14	19
408404214	8	7	1
409658912	17	11	6
223272468	16	10	6
190648594	16	8	8
242464572	43	24	19
181525202	10	6	4
152023489	24	12	12
351629899	20	11	9
221824810	11	6	5
275641219	24	13	11
377343226	31	19	12
372638490	57	28	29
116443738	96	60	36
66757214	2	1	1
171372531	17	12	5
136188114	19	11	8
241310331	21	10	11
209359071	19	9	10
232387263	39	17	22
325419300	16	11	5
367782524	18	9	9
443285484	11	8	3
169533675	18	12	6
161624403	44	25	19
214472017	25	17	8
226721154	10	6	4
151978478	32	17	15
133154202	20	11	9
267251229	28	14	14
169230287	18	12	6
219829530	14	8	6
529224132	4	3	1
131898060	14	10	4
169632990	20	9	11
220674456	19	11	8
476249561	16	7	9
207347980	7	5	2
188453851	22	11	11
402074941	14	10	4
427578928	11	5	6
379633387	18	11	7
231646526	11	8	3
233139578	52	28	24
195226442	10	4	6
430848663	18	6	12
391787146	34	18	16
286996738	16	9	7
94307171	19	12	7
210083755	14	6	8
278522976	38	21	17
323856145	10	7	3
159440857	83	42	41
