id	Всего сообщений	Сообщений ученика	Сообщений учителя
188106307	4	3	1
399052033	39	15	24
203063442	20	10	10
434468247	13	8	5
175397027	225	93	132
162469552	144	76	68
443114798	41	19	22
454656336	9	6	3
264636955	16	9	7
412480211	15	11	4
242464572	19	11	8
431551254	2	1	1
260233769	11	6	5
326430841	16	10	6
250138960	36	18	18
364145294	28	15	13
268869714	11	6	5
159440857	14	9	5
229397955	8	3	5
514544267	11	5	6
447239041	27	13	14
481189082	19	10	9
249681909	63	30	33
520431279	4	2	2
152023489	14	8	6
338358095	48	27	21
163037271	12	7	5
146708922	22	12	10
124193999	8	6	2
317532162	13	7	6
192570995	63	37	26
409658912	12	9	3
244603006	14	8	6
270080891	9	8	1
211952118	15	10	5
352949993	13	7	6
541760679	13	7	6
146416118	11	8	3
165315367	17	10	7
391150045	16	10	6
354884368	17	11	6
508761362	772	198	574
134642787	10	7	3
208231323	15	9	6
135877508	7	4	3
498540943	6	4	2
163456184	77	38	39
157265885	38	22	16
167323115	10	2	8
230461720	10	5	5
367723332	7	4	3
161624403	41	23	18
240726822	25	15	10
145128063	24	17	7
179269610	4	2	2
338363750	30	15	15
152330379	3	1	2
159312454	11	5	6
352032749	5	2	3
63942052	28	14	14
388361205	2	1	1
67141257	23	9	14
181191805	14	8	6
229707437	4	2	2
114141186	6	3	3
346990727	20	10	10
154271958	8	5	3
528712506	87	38	49
500349958	12	8	4
503730038	67	41	26
270973135	8	6	2
140442260	3	2	1
129087905	24	16	8
349185870	36	17	19
142726040	32	17	15
122716447	117	46	71
473181982	7	6	1
460299213	9	7	2
182747866	17	7	10
136919512	46	21	25
115264673	21	8	13
150860002	9	7	2
420860556	5	2	3
158716643	60	19	41
134311771	17	7	10
136977473	14	4	10
521821541	15	10	5
369765378	2	1	1
108865848	7	6	1
256138264	20	12	8
431930211	4	3	1
144355715	10	7	3
439735146	16	9	7
543846974	20	8	12
173674956	37	18	19
221351196	10	7	3
179434760	26	15	11
170011697	14	9	5
266519105	9	7	2
209726724	43	17	26
126686652	12	8	4
67621481	19	12	7
13029764	11	7	4
254629766	22	13	9
158278400	14	7	7
237527625	41	14	27
108739314	11	7	4
178183319	15	6	9
295807169	15	9	6
142586933	24	8	16
201362547	14	9	5
66568701	10	8	2
78672091	21	10	11
188954044	37	20	17
296765544	25	15	10
252575019	48	25	23
155028781	9	7	2
486004944	32	18	14
103033154	26	14	12
543381441	9	7	2
243020342	5	3	2
73346582	7	4	3
164116368	20	10	10
508869876	19	12	7
467348687	14	7	7
302160533	11	8	3
139656221	20	9	11
219829530	6	4	2
179646332	8	3	5
521290134	32	20	12
231355555	24	12	12
273503745	7	3	4
101923698	24	16	8
143188892	39	19	20
133473589	12	6	6
519482571	10	4	6
73583011	37	17	20
226807032	35	14	21
96266908	9	7	2
346181883	12	9	3
407601108	12	5	7
151629638	17	5	12
312572223	12	7	5
153493894	5	3	2
159835787	5	3	2
159313296	24	13	11
224806485	9	7	2
353707140	34	17	17
441100124	11	5	6
130807324	8	6	2
433979379	18	11	7
222648682	39	18	21
74142932	15	10	5
249459369	10	8	2
396992623	15	8	7
291047221	13	8	5
182301424	33	17	16
348909127	8	6	2
196262909	36	19	17
202318960	69	35	34
155457178	34	19	15
74436858	26	12	14
336271241	8	6	2
137602170	21	10	11
166267002	23	13	10
77966253	27	16	11
104337291	38	20	18
181065409	13	5	8
160744436	21	11	10
256232911	50	22	28
396968603	26	14	12
78023611	20	10	10
256580926	36	13	23
161112257	21	10	11
87855847	12	9	3
246566778	7	6	1
318227439	13	8	5
371779853	21	10	11
530905230	20	16	4
301263550	35	20	15
483195829	19	12	7
181641382	5	3	2
249463268	9	5	4
111258959	19	13	6
439171516	16	7	9
384353355	17	11	6
56478050	11	8	3
284946391	22	13	9
323096999	24	12	12
267863470	2	1	1
526792819	4	2	2
344354248	71	50	21
173548542	11	3	8
298913099	12	8	4
216826984	14	9	5
168955145	31	17	14
242102155	15	8	7
311302966	7	4	3
137627051	4	2	2
137551136	14	9	5
137891983	9	7	2
142076332	19	12	7
227288518	62	25	37
213564877	4	2	2
154699801	28	14	14
72671902	18	8	10
138585345	12	8	4
179146207	24	16	8
130572283	17	11	6
451672686	5	2	3
222580522	11	3	8
538950259	17	9	8
301620104	13	9	4
94307171	12	8	4
502316587	36	14	22
260056634	16	10	6
497281507	21	9	12
151193771	33	21	12
153302537	17	10	7
419862412	29	13	16
213593334	17	11	6
293735278	32	15	17
73021807	9	4	5
161979913	21	14	7
163636248	26	16	10
475979973	20	12	8
56185742	104	44	60
75362824	16	9	7
403667975	7	2	5
232387263	34	14	20
144224807	8	6	2
174780299	49	25	24
222306609	39	23	16
150378736	7	4	3
133231744	7	3	4
221102640	4	2	2
200456783	53	21	32
388580614	9	7	2
162308863	33	19	14
136222403	10	5	5
248434643	10	7	3
401792706	72	37	35
138706633	8	4	4
404931574	11	8	3
153288791	28	12	16
208448901	7	4	3
222252696	17	7	10
372638490	54	27	27
379633387	14	9	5
198676759	6	4	2
221802851	7	6	1
215348270	24	13	11
486704313	46	21	25
528836676	6	2	4
440298082	13	9	4
413355004	6	4	2
199587543	10	7	3
227296940	59	22	37
437450350	15	10	5
147122059	33	10	23
439552406	39	19	20
197641288	3	2	1
182306658	23	11	12
199883101	2	1	1
235346546	20	14	6
262683798	7	3	4
97484555	9	7	2
173017583	11	10	1
349620614	30	15	15
58658204	7	4	3
284559313	18	9	9
113556657	43	23	20
162921204	44	26	18
304741397	15	7	8
243609972	21	11	10
247487365	12	9	3
373765130	16	8	8
406929921	10	6	4
538297823	21	9	12
499666748	29	15	14
191573459	62	30	32
439482487	39	20	19
531791429	16	9	7
501119893	13	9	4
83451826	15	10	5
92437715	10	6	4
150810428	4	2	2
393707883	29	13	16
114961791	58	30	28
87215379	5	2	3
74478134	179	81	98
343069593	14	7	7
121047890	16	9	7
507140691	28	16	12
138808864	28	16	12
265702643	8	5	3
346950294	17	7	10
374605870	8	6	2
96097922	16	10	6
233076440	10	4	6
526372982	5	1	4
277641581	27	10	17
109436786	10	5	5
452064594	4	2	2
161360058	8	7	1
543656360	6	3	3
404527410	34	17	17
154831294	17	10	7
365534909	5	2	3
202905853	35	19	16
204213710	11	7	4
290619241	17	8	9
225277624	14	11	3
402074941	10	8	2
182088041	41	22	19
134499467	18	12	6
134648480	11	5	6
142626024	7	6	1
151796374	21	12	9
373247848	12	8	4
154531232	6	5	1
393399988	10	7	3
170127725	29	17	12
203982608	29	18	11
170866230	8	6	2
439255652	47	28	19
163720554	38	20	18
198435202	8	4	4
264374333	24	12	12
370092497	60	26	34
157757275	60	29	31
159165367	28	18	10
269155388	22	8	14
225580234	8	6	2
161367735	9	4	5
248378027	4	1	3
296094512	11	8	3
100588175	14	5	9
240366103	20	11	9
161032821	14	9	5
433941477	41	22	19
184185690	37	18	19
148907256	17	12	5
522612773	48	21	27
165172025	4	2	2
447379623	21	12	9
178097868	77	46	31
175181378	41	20	21
479831024	6	3	3
525232063	31	18	13
251953575	84	38	46
150882997	61	33	28
341127650	8	4	4
162038927	11	5	6
157624919	10	6	4
169642207	7	3	4
317532131	23	11	12
544949868	39	16	23
389704880	12	5	7
544776546	16	9	7
171552075	16	10	6
369280203	20	11	9
137722357	9	3	6
494167818	21	13	8
210845396	19	11	8
159838878	16	10	6
153328838	9	7	2
508222454	31	18	13
388982742	24	12	12
451633449	6	2	4
377343226	16	9	7
188947245	7	6	1
220674456	13	8	5
300650058	23	13	10
173976809	9	7	2
316507871	11	7	4
193653911	8	6	2
143810645	9	7	2
294732774	26	14	12
289660437	9	7	2
194316192	53	23	30
444404901	6	4	2
184363882	9	7	2
257036880	8	6	2
137676205	7	4	3
535337547	13	4	9
387511890	9	5	4
310002547	31	15	16
409828227	7	6	1
230331634	11	9	2
139536978	10	5	5
140498087	15	9	6
249254760	16	8	8
150586880	27	15	12
516629011	9	7	2
534458274	26	11	15
227437234	3	1	2
172483984	18	11	7
225064949	8	6	2
167020712	8	4	4
542734417	5	2	3
203610913	8	6	2
307791065	24	10	14
216072782	3	2	1
162827989	8	5	3
321622215	19	11	8
498521275	45	22	23
308154868	12	5	7
162841107	11	8	3
356086737	16	8	8
171593897	26	13	13
155016773	28	13	15
106407801	39	22	17
451886090	20	13	7
255534232	10	7	3
508381516	6	2	4
258430846	8	6	2
209359071	8	4	4
243683055	22	10	12
282646680	9	4	5
91422220	4	3	1
121158722	14	7	7
218428385	19	14	5
147112318	29	15	14
475985089	9	4	5
139567091	30	18	12
357490056	38	20	18
236510747	9	7	2
182982398	15	7	8
136047492	10	4	6
299812967	9	3	6
135728014	9	7	2
171736011	2	1	1
169533675	14	10	4
208778658	17	10	7
205642911	31	16	15
284488014	15	7	8
202329548	10	5	5
322437362	22	12	10
544027920	9	7	2
299225382	7	2	5
86431481	7	4	3
483185605	48	25	23
158212106	14	7	7
188453851	16	9	7
135770286	19	11	8
262801449	13	8	5
170720513	10	7	3
277391949	18	12	6
234719402	8	4	4
333734385	15	9	6
159664428	21	13	8
155556540	22	12	10
321041291	24	14	10
105725870	9	6	3
297551454	5	3	2
501589364	18	10	8
106734811	6	3	3
339611210	10	5	5
378280179	7	6	1
