ID;wallsMaterial;floorNumber;floorsTotal;totalArea;kitchenArea;latitude;longitude;price
29774;monolith;2;16.0;76.7;11.0;55.569647;37.491557;12500000
13801;block;1;12.0;76.0;8.0;55.895222;37.632978;11250000
20904;monolith;4;15.0;122.0;15.0;55.604651;37.661132;18500000
58387;monolith;14;21.0;39.0;12.0;55.791162;37.470446;8210000
45391;panel;4;25.0;58.4;15.3;55.69903000000001;37.938711;9000000
31279;monolithBrick;78;97.0;51.0;15.0;55.749511;37.537083;26500000
4924;panel;6;22.0;57.6;10.4;55.55240799999999;37.552157;10700000
42888;brick;6;17.0;70.0;12.0;55.807238;37.718974;19750000
40516;monolith;15;18.0;100.1;17.0;55.872758;37.615821;19900000
2145;brick;2;5.0;17.4;3.0;55.81146700000001;37.790552000000005;4900000
2074;monolith;11;18.0;80.5;24.0;55.88666;37.678909;12900000
