,anzsic06,Area,year,geo_count,ec_count
185,A,A121100,2021,3,0
186,A,A121500,2021,0,0
187,A,A121600,2021,3,0
188,A,A121700,2021,0,0
189,A,A121900,2021,0,6
190,A,A122000,2021,3,0
191,A,A122200,2021,0,0
192,A,A122500,2021,6,6
193,A,A122600,2021,0,0
194,A,A122700,2021,0,0
195,A,A123100,2021,0,0
196,A,A123200,2021,0,0
197,A,A123400,2021,3,0
198,A,A123500,2021,6,15
199,A,A123600,2021,0,0
200,A,A123700,2021,0,0
201,A,A123800,2021,0,15
202,A,A123900,2021,3,0
203,A,A124000,2021,0,0
204,A,A124200,2021,0,0
205,A,A124600,2021,0,0
206,A,A124700,2021,6,65
207,A,A124800,2021,0,0
208,A,A124900,2021,0,0
209,A,A125100,2021,3,0
210,A,A125200,2021,0,0
211,A,A125300,2021,3,0
212,A,A125600,2021,0,0
213,A,A125700,2021,0,0
214,A,A125900,2021,0,0
215,A,A126000,2021,3,0
216,A,A126200,2021,0,0
217,A,A126300,2021,3,0
218,A,A126500,2021,0,0
219,A,A126600,2021,6,0
220,A,A126700,2021,3,3
221,A,A126800,2021,9,0
222,A,A126900,2021,3,3
223,A,A127000,2021,0,0
224,A,A127100,2021,3,0
225,A,A127300,2021,3,6
226,A,A127400,2021,3,0
227,A,A127500,2021,6,0
228,A,A127600,2021,9,21
229,A,A127700,2021,0,0
230,A,A127800,2021,3,0
231,A,A127900,2021,0,0
232,A,A128000,2021,3,0
233,A,A128100,2021,3,0
234,A,A128200,2021,6,3
235,A,A128300,2021,0,9
236,A,A128400,2021,0,0
237,A,A128500,2021,0,0
238,A,A128600,2021,9,3
239,A,A128700,2021,3,30
240,A,A128800,2021,3,0
241,A,A128900,2021,3,3
242,A,A129200,2021,3,0
243,A,A129300,2021,0,0
244,A,A129400,2021,3,6
245,A,A129700,2021,9,0
246,A,A129800,2021,3,0
247,A,A130000,2021,6,9
248,A,A130200,2021,0,3
249,A,A130400,2021,3,0
250,A,A130500,2021,0,3
251,A,A130600,2021,0,6
252,A,A130700,2021,0,0
253,A,A130800,2021,0,0
254,A,A131000,2021,0,0
255,A,A131100,2021,0,0
256,A,A131200,2021,12,0
257,A,A131300,2021,9,3
258,A,A131500,2021,0,0
259,A,A131600,2021,0,0
260,A,A131700,2021,0,0
261,A,A131800,2021,3,3
262,A,A131900,2021,3,0
263,A,A132000,2021,0,0
264,A,A132100,2021,3,0
265,A,A132200,2021,0,6
266,A,A132400,2021,3,9
267,A,A132500,2021,3,0
268,A,A132600,2021,6,3
269,A,A132700,2021,3,0
270,A,A132800,2021,3,0
271,A,A133000,2021,0,0
272,A,A133200,2021,42,210
273,A,A133300,2021,18,45
274,A,A133500,2021,6,0
275,A,A133600,2021,0,0
276,A,A133700,2021,21,25
277,A,A133900,2021,0,0
278,A,A134000,2021,3,0
279,A,A134200,2021,3,0
280,A,A134300,2021,6,0
281,A,A134500,2021,6,0
282,A,A134600,2021,0,0
283,A,A135100,2021,3,0
284,A,A135300,2021,6,9
285,A,A135500,2021,0,0
286,A,A135600,2021,3,0
287,A,A135800,2021,0,9
288,A,A135900,2021,6,3
289,A,A136000,2021,6,3
290,A,A136100,2021,0,3
291,A,A136200,2021,3,0
292,A,A136300,2021,0,0
293,A,A136400,2021,21,6
294,A,A136600,2021,3,9
295,A,A136800,2021,0,0
296,A,A136900,2021,3,3
297,A,A137000,2021,0,0
